"NSW records 1,127 new local COVID-19 cases and two more deaths","NSW Health's Dr Jeremy McAnulty said 78.8 per cent of the state's residents aged over 16 have had one vaccine dose, while 46.5 per cent are fully vaccinated. ",Sam Phillips,"Tue, 14 Sep 2021 02:02:13 +0000"
Victoria records 445 new local COVID-19 cases and two more deaths,"Victoria has recorded two deaths and 445 new locally acquired COVID-19 cases, with 3799 active cases in the state.",Sam Phillips,"Tue, 14 Sep 2021 00:34:46 +0000"
"Left behind by Australia, Afghan interpreter finds refuge in the UK ","After being rejected by Australia, a former ADF interpreter finds refuge in the UK after spending days at Kabul airport with his family, trying to escape the Taliban regime. ",Sam Phillips,"Mon, 13 Sep 2021 23:04:29 +0000"
UN chief warns Afghans face 'most perilous hour' as he pleads for international aid,A United Nations-hosted international aid conference for Afghanistan raised more than A$1.4 billion. ,Sam Phillips,"Mon, 13 Sep 2021 21:07:01 +0000"
Indonesian officials arrest suspected leader of group linked to Bali bombings,The suspected leader of an al-Qaeda-linked group blamed for a string of bombings has been arrested in Indonesia.,Sam Phillips,"Mon, 13 Sep 2021 22:33:30 +0000"
US Secretary of State defends Afghanistan withdrawal amid criticism from Congress,Mr Blinken is facing two days of grilling by congressional committees - the first opportunity for lawmakers to directly challenge President Joe Biden's administration over his end to the 20-year war that brought a swift victory to the Taliban.,Sam Phillips,"Mon, 13 Sep 2021 21:44:52 +0000"
Migrant advocates concerned government welfare changes will create 'two-class system',"If passed, the bill would impose a consistent four-year waiting period on new migrants from next year before they can access certain welfare payments.",Sam Phillips,"Mon, 13 Sep 2021 08:04:55 +0000"
NSW man with Nazi flag and state map in bedroom arrested over plan to make 3D gun,An alleged neo-Nazi whose bedroom wall is adorned with the German Reich flag has been arrested by counter-terrorism police in central NSW over a 3D gun crime.,Sam Phillips,"Mon, 13 Sep 2021 05:38:57 +0000"
The main challenges facing Lebanon's new government,Lebanon ended a 13-month wait for a new government last week with the unveiling of a cabinet facing the daunting task of rescuing the country from economic meltdown. Here's what awaits it going forward.,Sam Phillips,"Mon, 13 Sep 2021 03:14:53 +0000"
ACT's lockdown extended by four weeks as 22 new COVID-19 cases recorded,"The ACT has recorded 22 new COVID-19 cases, with the lockdown extended for another month.",Sam Phillips,"Tue, 14 Sep 2021 02:10:21 +0000"
A man in his 20s has died in Victoria after contracting COVID-19,The Melbourne man has become the youngest death in Victoria's current COVID-19 outbreak.,None found,"Tue, 14 Sep 2021 04:42:07 +0000"
ACT's lockdown extended by four weeks as 22 new COVID-19 cases are recorded,"The ACT has recorded 22 new COVID-19 cases, with the lockdown extended for another month.",None found,"Tue, 14 Sep 2021 02:51:26 +0000"
Tu Le says people are 'furious' about Labor's Kristina Keneally selection 'debacle',It comes as questions are asked about whether ethnic diversity quotas should be adopted in Australian politics.,None found,"Tue, 14 Sep 2021 06:46:48 +0000"
Afghan women are sharing photos of colourful clothing in protest of the Taliban,It comes after photos emerged over the weekend of women covered head-to-toe in black waving Taliban flags at a university in Kabul.,None found,"Tue, 14 Sep 2021 07:26:17 +0000"
Quade Cooper among those to benefit from changes to Australian citizenship rules,"The changes, announced on Tuesday, will see eligible visa holders considered among the &ldquo;most talented prospective Australians&rdquo; given greater flexibility around meeting residency requirements.",None found,"Tue, 14 Sep 2021 02:34:57 +0000"
New pop-up mental health clinics to open across Melbourne and regional Victoria,"Victoria will spend an extra $22 million on mental health, including $13 million on pop-up clinics across the state.",None found,"Tue, 14 Sep 2021 02:37:24 +0000"
Joe Biden to talk climate change with Scott Morrison at upcoming White House meeting,Analysts say action on climate change could present as a potential point of friction during the meeting.,None found,"Tue, 14 Sep 2021 05:56:43 +0000"
Final days of Aboriginal woman Ms Wynne before police restraint heard at inquest ,"A coronial inquest into the death of Ms Wynne, 26, has heard she escaped from a mental health facility before losing consciousness while being restrained by police several days later.",None found,"Tue, 14 Sep 2021 02:37:55 +0000"
"Ageism is affecting Australian adults of many ages, new research finds",A report from the Australian Human Rights Commission has found ageism exists across the nation - even if we are not consciously aware of it.,None found,"Tue, 14 Sep 2021 04:24:35 +0000"
Prince Andrew to challenge jurisdiction of US court in sex assault lawsuit,Queen Elizabeth II's second son plans to challenge a US court's jurisdiction over a civil lawsuit by a woman who accused him of sexually assaulting and battering her two decades ago.,None found,"Tue, 14 Sep 2021 04:06:07 +0000"
Once you've had COVID-19 should you still get vaccinated or qualify for 'freedoms'?,"More and more people in Australia are now developing natural immunity to COVID-19 after contracting the disease, but what that means for their ongoing protection - and the country&rsquo;s opening up - remains in question. ",Anthony Galloway,"Tue, 14 Sep 2021 08:47:15 +0000"
New Zealand Māori Party renews push to change country's official name to Aotearoa,The party initially raised the idea in 2017 and it was also part of its policy platform at the 2020 general election.,Anthony Galloway,"Tue, 14 Sep 2021 08:33:14 +0000"
Government looking at ways to get more Pacific workers on Australian farms,It comes as changes are announced to two schemes that bring workers to regional Australia from Pacific nations.,Anthony Galloway,"Tue, 14 Sep 2021 09:02:53 +0000"
"NSW records 1,259 new local COVID-19 cases and 12 deaths as state hits vaccine milestone",Premier Gladys Berejiklian has also announced curfews in western and southwestern Sydney's 12 local government areas of concern are being lifted.,None found,"Wed, 15 Sep 2021 02:59:37 +0000"
Regional Victorian city of Ballarat to enter lockdown with Shepparton set to emerge,"It comes after Victoria recorded 423 new coronavirus cases and two deaths on Wednesday, as the number of total active infections climbed above 4,000.",None found,"Wed, 15 Sep 2021 03:15:20 +0000"
Scott Morrison seeking advice on Christian Porter&rsquo;s blind trust legal fees,"It's been confirmed the Prime Minister has discussed the matter with Mr Porter, after the latter revealed bills in his defamation case against the ABC were partly funded through a blind trust.",None found,"Wed, 15 Sep 2021 07:48:00 +0000"
ACT records 13 new coronavirus cases - eight infectious in the community,"Of the new cases, eight are household contacts of previous infections and five were in quarantine the whole time.",None found,"Wed, 15 Sep 2021 02:42:50 +0000"
Craig Kelly has been hit with a cease and desist letter over his spam texts,The Therapeutic Goods Administration has accused the NSW MP of breaching copyright and misleading the public about adverse reactions to vaccines.,None found,"Wed, 15 Sep 2021 05:45:33 +0000"
WA police officers questioned over pursuit of Aboriginal woman Ms Wynne at inquest,"WA police officers have been asked to explain why they chased a 26-year-old Aboriginal woman, entered her residence and handcuffed her, despite not suspecting her of committing any specific crime. Ms Wynne died five days later in hospital. ",None found,"Wed, 15 Sep 2021 03:12:55 +0000"
Australia's ARIA Awards will have gender-neutral categories this year,Organisers say the gender-neutral award categories will embrace and recognise non-binary artists. ,None found,"Wed, 15 Sep 2021 06:33:22 +0000"
Alexandria Ocasio-Cortez defends wearing 'tax the rich' dress at Met Gala ,Critics had said wearing the dress to the lavish event was hypocritical.,None found,"Wed, 15 Sep 2021 05:37:56 +0000"
Everything you need to know about the upcoming Canadian election,"Canada is voting in a hotly contested election next week, called two years early by Prime Minister Justin Trudeau. Here's a look at the political state of play and what issues are expected to decide the outcome.",None found,"Wed, 15 Sep 2021 06:16:56 +0000"
UK plans COVID-19 booster shots for the vulnerable to cope with 'bumpy' winter,Older and more vulnerable Britons will be targeted in a COVID-19 vaccine booster program.,None found,"Wed, 15 Sep 2021 02:00:21 +0000"
Scott Morrison 'seeking advice' on Christian Porter's blind trust legal fees,"It's been confirmed the Prime Minister has also discussed the matter with Mr Porter, after the latter revealed bills in his defamation case against the ABC were partly funded through a blind trust.",Daniel Cherny,"Wed, 15 Sep 2021 07:48:00 +0000"
