Australia Covid live update: WA’s Perth and Peel lockdown to end tonight; Qld records fourth new coronavirus case after 31 in NSW today,Scott Morrison announces four-step pandemic exit plan after meeting with state leaders. Follow latest updates,"Nino Bucci (now) and Michael McGowan , Josh Taylor and Calla Wahlquist (earlier)","Fri, 02 Jul 2021 07:50:37 GMT"
Labour candidate Kim Leadbeater wins narrow victory in Batley and Spen byelection,"Sister of murdered MP Jo Cox holds West Yorkshire seat for party, easing pressure on leader Keir Starmer",Maya Wolfe-Robinson and Heather Stewart,"Fri, 02 Jul 2021 06:41:17 GMT"
Scott Morrison’s ‘new deal’ for a Covid-normal Australia is just the old deal he’s failed to deliver – get us vaccinated | Katharine Murphy,"The PM’s plan is the quicker we all get vaccinated, the quicker we get out of this; less an insight than a statement of the bleeding obvious",Katharine Murphy,"Fri, 02 Jul 2021 07:16:52 GMT"
A common treatment for endometriosis could actually be making things worse,"Repeat surgeries for endometriosis could be exacerbating pain symptoms, experts say",Lucia Osborne-Crowley,"Fri, 02 Jul 2021 05:00:28 GMT"
Playing chicken: Chris Kenny and South Australia’s chief health officer see who blinks in Covid clash | The Weekly Beast,Sky News host unleashes barrage of questions at SA press conference. Plus: feathers ruffled at ‘Big Bird bandits’ court appearance,Tory Shepherd,"Fri, 02 Jul 2021 01:35:53 GMT"
Covid ‘perfect storm’ as more patients hit by fungal infections,"Weakened lungs and immune systems make people increasingly vulnerable, warn scientists",Natalie Grover Science correspondent,"Thu, 01 Jul 2021 16:58:20 GMT"
Great Barrier Reef: leading scientists praise Unesco’s ‘in danger’ warning,Group of reef and climate scientists say world heritage warning merited and Australia has not ‘pulled its weight on emissions’,Adam Morton Environment editor,"Fri, 02 Jul 2021 00:36:20 GMT"
New Zealand lawyers sue climate change body over alleged failure to meet targets,Lawyers say commission’s emissions budgets are inconsistent with aim of limiting global warming to 1.5C,Eva Corlett in Wellington,"Fri, 02 Jul 2021 03:24:25 GMT"
Queen Victoria and Elizabeth II statues toppled in Canada amid anger at deaths of Indigenous children,Statues brought down as part of protests at treatment of Indigenous children in notorious residential schools,Leyland Cecco in Toronto,"Fri, 02 Jul 2021 01:47:31 GMT"
US halts all federal executions amid review of capital punishment,Attorney general orders temporary pause following historic use of death penalty under Trump administration,Maanvi Singh and agencies,"Fri, 02 Jul 2021 01:16:30 GMT"
‘Traumatic’: Hamilton and Come From Away musical cast and crew stood down without pay,"The industry is strengthening its calls for more support, with the CEO of Live Performance Australia warning that ‘this will happen again and again’",Elissa Blake,"Fri, 02 Jul 2021 03:03:59 GMT"
QUIZ: Does Nick Kyrgios make you mad? When did you realise your job is pointless? | First Dog on the Moon,"Answer A, B, C or D to test your mental wellbeing",First Dog on the Moon,"Fri, 02 Jul 2021 06:42:45 GMT"
Trump exposed as prosecutors make first move in high-stakes chess game,"The charges against Allan Weisselberg might seem small fry, but the threat to people higher up the food chain is mounting",Dominic Rushe in New York,"Fri, 02 Jul 2021 06:30:29 GMT"
The week the Covid consensus snapped in Australia – with Lenore Taylor,The merry consensus that guided national cabinet through most of the Covid-19 pandemic spectacularly snapped this week after the prime minister surprised state and territory leaders by announcing a change to AstraZeneca vaccine advice. Editor-in-chief Lenore Taylor and head of news Mike Ticher discuss rising frustration among the nation’s leaders and what it means for Australia’s pandemic response,Presented by Gabrielle Jackson with Lenore Taylor and Mike Ticher. Produced by Ryan Pemberton. The executive producer is Miles Martignoni,"Thu, 01 Jul 2021 17:30:14 GMT"
