"Australia Covid live news update: NSW records 1,127 new cases, Victoria 445 and Qld one; ACT lockdown extended",Victoria ,Caitlin Cassidy (now) and Matilda Boseley (earlier),"Tue, 14 Sep 2021 02:15:46 GMT"
New Zealand Māori party launches petition to change country’s name to Aotearoa,Party wants all original te reo Māori place names to be officially restored across the country in the next five years,Tess McClure in Christchurch,"Tue, 14 Sep 2021 01:46:14 GMT"
Guardian Essential poll: majority of Australians support vaccine mandates,"Poll finds 45% think enforcement should be by federal government, 25% think states, and 31% think employers should use own judgment",Katharine Murphy Political editor,"Mon, 13 Sep 2021 17:30:39 GMT"
Wallabies star Quade Cooper set to be granted Australian citizenship after government changes rules,Immigration minister says eligibility changes recognise difficulties faced by ‘exceptional’ people like Cooper,Mike Hytner,"Tue, 14 Sep 2021 00:43:06 GMT"
"Australia burying ‘head in the sand’ on security risks of climate change, former defence official says",Warning comes as Climate Council report finds Australia will not have ‘lasting national security’ without addressing climate crisis,Daniel Hurst,"Mon, 13 Sep 2021 17:30:39 GMT"
Teenage boy charged after woman stabbed on Queensland beach,A 16-year-old has been charged after a woman was stabbed multiple times while sunbaking on Blacks Beach at Mackay,Australian Associated Press,"Tue, 14 Sep 2021 00:00:32 GMT"
Former small business ombudsman wants ‘compassion’ for those overpaid welfare due to jobkeeper,Kate Carnell defends tax office decision not to pursue businesses and suggests similar treatment for individuals who made ‘honest mistakes’,Paul Karp,"Mon, 13 Sep 2021 17:30:38 GMT"
Andrew Neil resigns as lead presenter and chairman of GB News,"Ex-BBC host was unhappy with technical mistakes, loss of key staff and the channel’s political direction",Jim Waterson Media editor,"Mon, 13 Sep 2021 19:30:55 GMT"
"Australian foreign minister was told to close embassy before May visit to Kabul, documents reveal",Dfat timeline shows Marise Payne received formal advice to shutter embassy five days before meeting with then-president Ashraf Ghani,Daniel Hurst Foreign affairs and defence correspondent,"Mon, 13 Sep 2021 17:30:38 GMT"
"Boris Johnson’s mother, Charlotte Johnson Wahl, dies at 79","Successful portrait painter died ‘suddenly and peacefully’ in London, according to family statement",Lucy Campbell,"Mon, 13 Sep 2021 22:38:47 GMT"
Lake Tahoe ski resort changes name to remove racist and misogynistic slur,Resort will be called Palisades Tahoe after consulting with Indigenous groups over longstanding name,Dani Anguiano,"Mon, 13 Sep 2021 23:18:03 GMT"
"Millions with eye conditions at higher risk of dementia, shows research","People with macular degeneration, cataracts and diabetes-related eye disease at greater risk",Andrew Gregory Health editor,"Mon, 13 Sep 2021 23:01:45 GMT"
LA officers sue over vaccine mandate as police across California threaten to resign,Police department employees claim ‘hostile work environment’ for the unvaccinated and say mandate violates civil rights,Sam Levin in Los Angeles,"Tue, 14 Sep 2021 01:18:23 GMT"
Australia’s failure to act on tax transparency is at odds with miners and minerals lobby,Federal government accused of ‘choosing secrecy’ for not adopting the anti-corruption Extractive Industries Transparency Initiative ,Christopher Knaus,"Mon, 13 Sep 2021 17:30:39 GMT"
"US faces ‘real battle for democracy’ against far right, says Hillary Clinton","Speaking at a Guardian Live event, the former presidential candidate says the Capitol riot was a ‘terror attack’ that shows a new ‘internal threat’",Julian Borger in Washington,"Mon, 13 Sep 2021 23:25:26 GMT"
